Location,Count,Max,Timestamp
Nick Level 1 Fitness,35,150,2024-02-05 13:56:22
Nick Level 2 Fitness,25,100,2024-02-05 13:56:22
Nick Level 3 Fitness,95,200,2024-02-05 13:56:22
Nick Power House,54,140,2024-02-05 13:56:22
Nick Track,14,100,2024-02-05 13:56:22
Soderholm Family Aquatic Center,9,230,2024-02-05 13:56:22
Nick Courts 1 & 2,1,250,2024-02-05 13:56:22
Nick Courts 3-6,15,500,2024-02-05 13:56:22
Nick Courts 7 & 8,7,250,2024-02-05 13:56:22
Level 1 Fitness,41,130,2024-02-05 13:56:36
Level 2 Fitness,9,65,2024-02-05 13:56:36
Level 3 Fitness,22,246,2024-02-05 13:56:36
Level 4 Fitness,12,75,2024-02-05 13:56:36
Bakke Track,5,100,2024-02-05 13:56:36
Courts 1&2,0,250,2024-02-05 13:56:36
Courts 3&4,1,250,2024-02-05 13:56:36
Courts 5-8,3,500,2024-02-05 13:56:36
Orbit,13,46,2024-02-05 13:56:36
Willow Room,0,27,2024-02-05 13:56:36
Cove Pool,4,116,2024-02-05 13:56:36
Mount Mendota,2,39,2024-02-05 13:56:36
Skybox Suites,3,18,2024-02-05 13:56:36
SubZero Ice Center,,,2024-02-05 13:56:36
Nick Level 1 Fitness,32,150,2024-02-05 14:16:50
Nick Level 2 Fitness,23,100,2024-02-05 14:16:50
Nick Level 3 Fitness,87,200,2024-02-05 14:16:50
Nick Power House,56,140,2024-02-05 14:16:50
Nick Track,10,100,2024-02-05 14:16:50
Soderholm Family Aquatic Center,,,2024-02-05 14:16:50
Nick Courts 1 & 2,3,250,2024-02-05 14:16:50
Nick Courts 3-6,11,500,2024-02-05 14:16:50
Nick Courts 7 & 8,5,250,2024-02-05 14:16:50
Level 1 Fitness,21,130,2024-02-05 14:17:04
Level 2 Fitness,8,65,2024-02-05 14:17:04
Level 3 Fitness,25,246,2024-02-05 14:17:04
Level 4 Fitness,8,75,2024-02-05 14:17:04
Bakke Track,5,100,2024-02-05 14:17:04
Courts 1&2,0,250,2024-02-05 14:17:04
Courts 3&4,0,250,2024-02-05 14:17:04
Courts 5-8,1,500,2024-02-05 14:17:04
Orbit,13,46,2024-02-05 14:17:04
Willow Room,3,27,2024-02-05 14:17:04
Cove Pool,2,116,2024-02-05 14:17:04
Mount Mendota,6,39,2024-02-05 14:17:04
Skybox Suites,2,18,2024-02-05 14:17:04
SubZero Ice Center,,,2024-02-05 14:17:04
Nick Level 1 Fitness,32,150,2024-02-05 14:37:17
Nick Level 2 Fitness,23,100,2024-02-05 14:37:17
Nick Level 3 Fitness,87,200,2024-02-05 14:37:17
Nick Power House,56,140,2024-02-05 14:37:17
Nick Track,10,100,2024-02-05 14:37:17
Soderholm Family Aquatic Center,,,2024-02-05 14:37:17
Nick Courts 1 & 2,3,250,2024-02-05 14:37:17
Nick Courts 3-6,11,500,2024-02-05 14:37:17
Nick Courts 7 & 8,5,250,2024-02-05 14:37:17
